ticker,WN1 Comdty,FV1 Comdty,TU1 Comdty,US1 Comdty
21/05/2013,26.2052,5.0801,1.8919,15.9682
22/05/2013,25.8686,5.066,1.8913,15.7965
23/05/2013,25.9235,5.0657,1.8915,15.8179
24/05/2013,26.0746,5.0675,1.8913,15.8695
28/05/2013,25.409,5.0436,1.8899,15.5778
29/05/2013,25.4912,5.0418,1.8899,15.6292
30/05/2013,25.409,5.0426,1.8899,15.6121
31/05/2013,25.3131,5.0361,1.8898,15.5521
03/06/2013,25.4364,5.04,1.8901,15.5863
04/06/2013,25.3199,5.0371,1.8901,15.5563
05/06/2013,25.5392,5.0411,1.8903,15.6292
06/06/2013,25.6833,5.044,1.8905,15.6978
07/06/2013,25.183,5.0278,1.8901,15.5135
10/06/2013,24.9093,5.0198,1.8896,15.3979
11/06/2013,25.1077,5.0223,1.8894,15.4535
12/06/2013,24.8683,5.0162,1.8891,15.3764
13/06/2013,25.1761,5.0263,1.8898,15.5049
14/06/2013,25.3816,5.0433,1.8913,15.5863
17/06/2013,25.0803,5.0386,1.8915,15.4792
18/06/2013,25.1282,5.0386,1.8917,15.4835
19/06/2013,24.9914,5.0032,1.8905,15.3936
20/06/2013,23.6817,4.987,1.8894,14.9846
21/06/2013,23.4051,4.9646,1.8877,14.8348
24/06/2013,23.4523,4.9589,1.8866,14.8049
25/06/2013,23.1624,4.9527,1.8863,14.7151
26/06/2013,23.3848,4.9643,1.8877,14.8262
27/06/2013,23.5467,4.9787,1.8892,14.9118
28/06/2013,23.8033,4.9718,1.8882,14.9461
01/07/2013,23.8371,4.9426,1.8912,14.9332
02/07/2013,23.9452,4.9459,1.8914,14.9632
03/07/2013,23.7965,4.9379,1.8905,14.9075
05/07/2013,22.8596,4.8976,1.8891,14.51
08/07/2013,23.048,4.9188,1.8905,14.6253
09/07/2013,22.9941,4.9235,1.8905,14.6211
10/07/2013,22.8327,4.9185,1.8907,14.5399
11/07/2013,23.1557,4.9462,1.8925,14.7236
12/07/2013,23.0682,4.9372,1.8918,14.6851
15/07/2013,23.2568,4.9466,1.8926,14.7749
16/07/2013,23.3848,4.952,1.8931,14.8262
17/07/2013,23.4523,4.9642,1.894,14.8776
18/07/2013,23.1557,4.9614,1.8937,14.7835
19/07/2013,23.486,4.9689,1.8942,14.899
22/07/2013,23.5805,4.9675,1.894,14.899
23/07/2013,23.3848,4.9657,1.8938,14.8391
24/07/2013,23.0816,4.9538,1.893,14.7065
25/07/2013,23.021,4.9516,1.8933,14.6937
26/07/2013,23.2702,4.9653,1.8947,14.792
29/07/2013,23.0816,4.9617,1.8945,14.7151
30/07/2013,23.0143,4.9585,1.8944,14.6809
31/07/2013,23.1422,4.9592,1.8947,14.7022
01/08/2013,22.4833,4.9351,1.8937,14.4247
02/08/2013,22.9201,4.9675,1.8951,14.6552
05/08/2013,22.7184,4.9599,1.8947,14.5826
06/08/2013,22.7184,4.9603,1.8949,14.5783
07/08/2013,22.9739,4.9642,1.8951,14.6809
08/08/2013,23.0547,4.9668,1.8952,14.7322
09/08/2013,23.0816,4.9668,1.8951,14.7535
12/08/2013,22.9403,4.9635,1.8951,14.7108
13/08/2013,22.4967,4.9423,1.8938,14.5058
14/08/2013,22.4967,4.9441,1.894,14.5058
15/08/2013,22.2887,4.9336,1.8933,14.4289
16/08/2013,21.9939,4.9239,1.8928,14.2882
19/08/2013,21.7931,4.9156,1.8926,14.1987
20/08/2013,22.0407,4.9289,1.8933,14.3308
21/08/2013,21.8801,4.9149,1.8925,14.349
22/08/2013,21.8667,4.8969,1.8911,14.2285
23/08/2013,22.2887,4.9077,1.8914,14.3948
26/08/2013,22.3759,4.9142,1.8919,14.4161
27/08/2013,22.7923,4.9293,1.8926,14.5826
28/08/2013,22.537,4.9185,1.8919,14.4844
29/08/2013,22.7789,4.9239,1.8921,14.5741
30/08/2013,22.947,4.9224,1.8926,14.604
03/09/2013,22.4296,4.907,1.8912,14.476
04/09/2013,22.3222,4.8904,1.8893,14.4191
05/09/2013,21.9202,4.8681,1.8872,14.2527
06/09/2013,21.9604,4.8839,1.8895,14.3008
09/09/2013,22.1345,4.8994,1.8904,14.3796
10/09/2013,21.8801,4.8875,1.8891,14.2746
11/09/2013,22.034,4.9001,1.8904,14.3577
12/09/2013,22.1077,4.9001,1.8909,14.3972
13/09/2013,22.1144,4.9005,1.8907,14.4191
16/09/2013,22.0139,4.9174,1.8926,14.4234
17/09/2013,22.1814,4.9217,1.8935,14.4936
18/09/2013,22.6109,4.9595,1.8954,14.7217
19/09/2013,22.4497,4.9516,1.8952,14.647
20/09/2013,22.1743,4.9516,1.8952,14.32
23/09/2013,22.2608,4.9545,1.8949,14.3503
24/09/2013,22.6141,4.9639,1.8951,14.4975
25/09/2013,22.7409,4.9718,1.8954,14.5842
26/09/2013,22.5407,4.9696,1.8954,14.5192
27/09/2013,22.6008,4.9761,1.8958,14.5625
30/09/2013,22.5608,4.9732,1.8954,14.5538
01/10/2013,22.4007,4.9115,1.8882,14.5018
02/10/2013,22.4674,4.9201,1.8889,14.5408
03/10/2013,22.4941,4.9252,1.8893,14.5625
04/10/2013,22.3874,4.9155,1.8888,14.4975
07/10/2013,22.5341,4.9155,1.8879,14.5495
08/10/2013,22.5741,4.9112,1.8863,14.5582
09/10/2013,22.4407,4.9144,1.8877,14.5192
10/10/2013,22.3474,4.9119,1.8879,14.4542
11/10/2013,22.4074,4.9176,1.8884,14.4759
15/10/2013,22.2009,4.9137,1.8879,14.3849
16/10/2013,22.4541,4.9223,1.8886,14.4975
17/10/2013,22.7943,4.9377,1.8893,14.6622
18/10/2013,22.821,4.9345,1.8893,14.6535
21/10/2013,22.6942,4.9309,1.8891,14.6015
22/10/2013,23.0482,4.9471,1.8901,14.7793
23/10/2013,23.1887,4.9482,1.8895,14.8444
24/10/2013,23.0349,4.9424,1.8893,14.788
25/10/2013,23.1485,4.9485,1.8898,14.8271
28/10/2013,23.0884,4.9492,1.8898,14.8097
29/10/2013,23.0148,4.9525,1.8901,14.814
30/10/2013,22.968,4.9485,1.8903,14.775
31/10/2013,22.9881,4.9489,1.8907,14.7533
01/11/2013,22.6742,4.9374,1.8903,14.6058
04/11/2013,22.7075,4.9424,1.8908,14.6362
05/11/2013,22.3741,4.937,1.8908,14.4975
06/11/2013,22.3208,4.9478,1.8915,14.5148
07/11/2013,22.5407,4.9532,1.8917,14.5972
08/11/2013,21.9813,4.9324,1.8907,14.3287
12/11/2013,21.9215,4.9241,1.8898,14.2941
13/11/2013,22.0478,4.9367,1.8903,14.3546
14/11/2013,22.2009,4.9503,1.8915,14.4369
15/11/2013,22.2076,4.9485,1.8914,14.4369
18/11/2013,22.3808,4.9543,1.8919,14.5018
19/11/2013,22.2009,4.946,1.8912,14.4282
20/11/2013,21.7354,4.946,1.8922,14.2292
21/11/2013,21.9501,4.9471,1.8924,14.2638
22/11/2013,22.0545,4.9489,1.8919,14.3503
25/11/2013,22.0678,4.951,1.8917,14.359
26/11/2013,22.3141,4.9604,1.8921,14.4629
27/11/2013,22.2009,4.9557,1.8924,14.3936
29/11/2013,22.2275,4.9539,1.8924,14.3936
02/12/2013,21.9813,4.9424,1.8922,14.2595
03/12/2013,22.0944,4.9492,1.8922,14.3157
04/12/2013,21.762,4.937,1.8919,14.173
05/12/2013,21.7221,4.9306,1.8915,14.1471
06/12/2013,21.7155,4.9248,1.8914,14.1385
09/12/2013,21.8351,4.9263,1.8912,14.1946
10/12/2013,22.121,4.9367,1.8915,14.3244
11/12/2013,21.8883,4.9288,1.8912,14.2206
12/12/2013,21.8085,4.9191,1.8901,14.1903
13/12/2013,21.9348,4.9187,1.8903,14.2422
16/12/2013,21.8417,4.9198,1.8901,14.2033
17/12/2013,21.9614,4.928,1.8905,14.2681
18/12/2013,21.7421,4.9252,1.8912,14.186
19/12/2013,21.7819,4.9058,1.89,14.1687
20/12/2013,21.7677,4.9008,1.8898,13.9504
23/12/2013,21.6621,4.8957,1.8901,13.8609
24/12/2013,21.3985,4.8853,1.89,13.7587
26/12/2013,21.2932,4.8861,1.8896,13.7331
27/12/2013,21.2077,4.8868,1.89,13.7033
30/12/2013,21.3788,4.8929,1.8908,13.7714
31/12/2013,21.2077,4.8878,1.8896,13.7076
02/01/2014,21.313,4.8379,1.8879,13.7501
03/01/2014,21.2669,4.8353,1.8872,13.7374
06/01/2014,21.4315,4.8425,1.8877,13.8055
07/01/2014,21.5171,4.8475,1.8879,13.8438
08/01/2014,21.4051,4.8267,1.8861,13.7714
09/01/2014,21.5501,4.8307,1.8861,13.8481
10/01/2014,21.9393,4.8583,1.8889,14.0357
13/01/2014,22.0912,4.8655,1.8898,14.0869
14/01/2014,21.9393,4.8537,1.8884,14.0271
15/01/2014,21.9129,4.8472,1.8879,14.0101
16/01/2014,22.0648,4.854,1.888,14.0869
17/01/2014,22.1507,4.8572,1.8884,14.1168
21/01/2014,22.2234,4.8547,1.8885,14.1296
22/01/2014,22.111,4.8432,1.8873,14.0826
23/01/2014,22.508,4.8677,1.8892,14.2534
24/01/2014,22.6604,4.8734,1.8899,14.3261
27/01/2014,22.5279,4.8687,1.8898,14.2577
28/01/2014,22.561,4.8766,1.8903,14.2961
29/01/2014,22.8129,4.8906,1.8915,14.4159
30/01/2014,22.7399,4.8871,1.8917,14.3859
31/01/2014,22.8062,4.8939,1.8922,14.4287
03/02/2014,23.2311,4.9097,1.8934,14.6085
04/02/2014,22.9588,4.9054,1.8931,14.5057
05/02/2014,22.6736,4.9,1.8927,14.403
06/02/2014,22.561,4.895,1.8924,14.3517
07/02/2014,22.6206,4.9072,1.8933,14.3902
10/02/2014,22.6339,4.9036,1.8931,14.3859
11/02/2014,22.5345,4.8928,1.8922,14.3261
12/02/2014,22.3491,4.8842,1.8915,14.2449
13/02/2014,22.5345,4.8989,1.8927,14.3474
14/02/2014,22.5146,4.895,1.8927,14.3346
18/02/2014,22.6206,4.905,1.8934,14.3902
19/02/2014,22.5014,4.8975,1.8927,14.3432
20/02/2014,22.4021,4.891,1.8926,14.309
21/02/2014,22.5411,4.8939,1.8929,14.3603
24/02/2014,22.4683,4.891,1.8926,14.3261
25/02/2014,22.7267,4.9,1.8929,14.433
26/02/2014,22.8593,4.9072,1.8936,14.4972
27/02/2014,23.065,4.9126,1.8939,14.5742
28/02/2014,23.0783,4.9068,1.8938,14.5656
03/03/2014,23.2511,4.9158,1.8945,14.647
04/03/2014,22.8527,4.9025,1.8934,14.4758
05/03/2014,22.8195,4.9014,1.8936,14.4715
06/03/2014,22.614,4.895,1.8927,14.3859
07/03/2014,22.4418,4.8795,1.8913,14.3047
10/03/2014,22.4153,4.8831,1.8915,14.309
11/03/2014,22.5212,4.8867,1.8915,14.3474
12/03/2014,22.7267,4.8928,1.892,14.4415
13/03/2014,23.065,4.9061,1.8929,14.5999
14/03/2014,23.1381,4.9057,1.8929,14.6213
17/03/2014,22.9323,4.895,1.8924,14.5271
18/03/2014,22.9522,4.9007,1.8929,14.5528
19/03/2014,22.7267,4.8659,1.8901,14.4159
20/03/2014,22.8195,4.8623,1.8899,14.4244
21/03/2014,22.5905,4.8608,1.8903,14.1427
24/03/2014,22.7682,4.8565,1.8896,14.2018
25/03/2014,22.7287,4.8605,1.8903,14.1976
26/03/2014,22.8735,4.8702,1.8913,14.2693
27/03/2014,23.0647,4.8698,1.8915,14.3537
28/03/2014,22.8999,4.8641,1.8915,14.2608
31/03/2014,22.8208,4.8655,1.8924,14.2187
01/04/2014,22.6036,4.7747,1.8836,14.1385
